,Winery,Lats,Longs
0,Rainstorm,40.0898288,-88.2481766
1,Sweet Cheeks,42.3439038,-71.1010995
2,Tandem,36.3581585,-94.2137345
3,Terre di Giurfo,37.1112907,14.6326996
4,Trimbach,48.1949046,7.326016000000001
5,Jean-Baptiste Adam,48.1265682,7.283714199999999
6,Kirkland Signature,47.6812434,-122.1818941
7,Leon Beyer,48.0425465,7.306561599999999
8,Louis M. Martini,38.491074,-122.452179
9,Mirassou,25.9432844,-80.296723
10,Pradorey,41.7030928,-3.790283799999999
11,Acrobat,30.243192,-97.7368614
12,Baglio di Pianetto,37.9881256,13.349254
13,Bianchi,37.654419,-122.141173
14,Canicattì,37.3581785,13.8506902
15,Castello di Amorosa,38.558417,-122.542601
16,Clarksburg Wine Company,38.422495,-121.5324569
17,Erath,29.9582611,-92.0359562
18,Hawkins Cellars,45.275972,-123.013417
19,Henry Fessy,46.121562,4.6996097
20,Vignerons de Bel Air,46.1156149,4.7100956
21,Château de Sours,44.823453,-0.272746
22,Souverain,38.7613662,-122.9751903
23,Mellisoni,47.8352538,-120.0690355
24,Okapi,26.1082596,-80.3950524
25,Podere dal Nespoli,44.0377492,11.9947399
26,Ram,37.09024,-95.712891
27,Roland Champion,49.025356,4.013213299999999
28,Sevtap,34.595332,-120.140979
29,Vignerons des Terres Secrètes,46.3219516,4.753347799999999
30,Basel Cellars,46.0176661,-118.395933
31,Cocobon,34.504006,-82.650689
32,Collet,34.0702435,-84.2931746
33,Drumheller,51.4651847,-112.7105342
34,Eco Terreno,38.2820218,-122.4598824
35,Grifalco,40.968593,15.850882
36,Hindsight,32.884624,-117.169603
37,Mulvane Wine Co.,37.156035,-96.927639
38,Yalumba,-34.5131355,139.0565116
39,Z'IVO,45.1275681,-123.1187881
40,Spyro,47.4059637,-122.3252852
41,Lionel Osmin & Cie,43.326285,-0.3067176
42,Mitolo,-35.2286753,138.5664969
43,Napa Cellars,38.4212828,-122.3900237
44,Palencia,30.0261591,-81.38562569999999
45,Passaggio,41.7064191,-88.2040961
46,Poggio Alloro,43.487718,11.065163
47,Fattoria Sardi,43.8763845,10.5035337
48,Ferrari-Carano,38.7113931,-122.9782966
49,Folie à Deux,38.4211272,-122.3902771
50,Franciscan,36.0880938,-95.7851333
51,Gård,46.99503199999999,-120.5474561
52,Soquel Vineyards,37.0295161,-121.9338667
53,Marchesi Antinori,38.4344672,-122.2924441
54,Marchesi de' Frescobaldi,40.90553300000001,-74.40275009999999
55,Martin Ranch,37.0402955,-121.7114005
56,Ornellaia,40.7170897,-74.32439529999999
57,Pardon et Fils,46.1476593,4.5980658
58,Piña,36.1035952,-80.24595819999999
59,Podere Ciona,43.476413,11.456984
60,Poggioventoso,42.9065216,10.9682903
61,Pull,36.2209525,-95.8770069
62,R2,27.9674948,-82.751513
63,Rideau,45.4299927,-75.6828855
64,Tenuta Forconi,43.696166,10.989761
65,Henry's Drive Vignerons,-34.9824138,138.7335753
66,Lassègue,44.87733129999999,-0.126148
67,Terra Valentine,38.5229576,-122.5489639
68,Testarossa,37.21347799999999,-121.981544
69,Vincent Vineyards,34.652382,-120.094943
70,Wrath,36.55482,-121.920321
